Topic,Digital Restrictions for Minors
Query,"(""social media ban minors"" OR ""gaming restrictions minors"" OR ""screen time policy"" OR ""protect children online"") since:2026-06-14 until:2026-06-29 lang:en -is:retweet"
Save Path,C:/Users/Minghao Lin/PycharmProjects/SURF/result\Digital_Restrictions_for_Minors_2026-06-14_to_2026-06-29
Tweet ID,Topic,Tweet Date,Display Name,User Name,Tweet URL,Tweet Content,Favorite Count,Retweet Count,Reply Count,Relevant,Gold Label,Notes
2071089516044259603,Digital Restrictions for Minors,2026-06-28 12:33,Matt Williams,@WeTheNorth_23,https://x.com/WeTheNorth_23/status/2071089516044259603,"I will always side with the children. Always. No exceptions. No asterisks.
Let me be direct about something that too many politicians are afraid to say out loud.
Willfully exposing children to adult nudity is not a celebration. It is not inclusion. It is not pride. It is a",0,0,0,0,,
2071089161734656466,Digital Restrictions for Minors,2026-06-28 12:31,Matt Williams,@WeTheNorth_23,https://x.com/WeTheNorth_23/status/2071089161734656466,"@JupitersArcherD @ChantaleBerger3 I will always side with the children. Always. No exceptions. No asterisks.
Let me be direct about something that too many politicians are afraid to say out loud.
Willfully exposing children to adult nudity is not a celebration. It is not inclusion. It is not pride. It is a",0,0,0,0,,
2071079497940566377,Digital Restrictions for Minors,2026-06-28 11:53,Parents Rise,@Parents_Rise,https://x.com/Parents_Rise/status/2071079497940566377,"The KIDS Act claims to protect children online, but only weakens accountability for Big Tech by removing key protections around harms like eating disorders, suicide, and addiction. Sign the petition at the link below to stand with us.",0,0,0,1,2,
2071069334512771412,Digital Restrictions for Minors,2026-06-28 11:13,Robert Foster,@techwhipped,https://x.com/techwhipped/status/2071069334512771412,"@Parents_Rise I understand where you're coming from, and I'm truly sorry for the parents who have lost their children. No parent should ever have to experience that kind of pain. I think we all share the same goal of wanting to protect children online and reduce the risks they face from",5,2,0,1,3,
2070961408343445988,Digital Restrictions for Minors,2026-06-28 04:04,"Rep. Kim Schrier, M.D.",@RepKimSchrier,https://x.com/RepKimSchrier/status/2070961408343445988,"Passing legislation to protect kids online has been a main priority of mine as a mom, pediatrician, and member of Congress.

I am excited to pass the KIDS Act in the House, a much-needed bill that will help protect children online and hold Big Tech accountable. 

I'm proud to",5,4,13,1,1,
2070905113754095729,Digital Restrictions for Minors,2026-06-28 00:20,Robert Foster,@techwhipped,https://x.com/techwhipped/status/2070905113754095729,"@EkGaetan @redumbrellaclub which specific point is wrong. Everyone agrees we should protect children online. The disagreement is about whether mandatory age verification actually solves the problem.

1. What actually prevents a child from using someone else's already verified account? If a parent, older",4,0,0,1,3,
2070890504695451744,Digital Restrictions for Minors,2026-06-27 23:22,US_facade,@US_facade31,https://x.com/US_facade31/status/2070890504695451744,"@AmericaPapaBear Governments use children to creat new laws &amp; restrictions on law abiding citizens. For example; age verification on monitoring systems! They say it's to protect children online. In reality it's a violation of the 1st, 4th,  5th &amp; 14th amendment rights! Rights you won't get back!",2,0,0,1,2,
2070751544170152424,Digital Restrictions for Minors,2026-06-27 14:10,Moiz Mustafa Naria,@Moizzz_08,https://x.com/Moizzz_08/status/2070751544170152424,"Sri Lanka hasn't introduced similar restrictions.

But the question is no longer hypothetical.

As more countries act, the pressure to decide how we protect children online will only grow.",0,0,1,0,,
2070625335914221580,Digital Restrictions for Minors,2026-06-27 05:48,Lori Trahan,@RepLoriTrahan,https://x.com/RepLoriTrahan/status/2070625335914221580,"For the last six years, I have worked as a mom and a member of the @EnergyCommerce Committee to protect children online. With the bipartisan KIDS Act, we have a real chance to notch a win in that fight. I commend Ranking Member @FrankPallone for his diligence and persistence in",7,2,13,1,1,
2070552599426925035,Digital Restrictions for Minors,2026-06-27 00:59,Wade Miller,@WadeMiller,https://x.com/WadeMiller/status/2070552599426925035,"@FRAMER_FRAMER I’m paid in the sense that donors like that I want to protect children online  and decide to contribute to our public policy efforts.  Otherwise, no one can buy me and dictate to me what my position is.  I’d rather quit than sell out my principles.  I’m a conservative.  I think",0,0,5,0,,
2070551984499835344,Digital Restrictions for Minors,2026-06-27 00:57,OIC-IPHRC,@OIC_IPHRC,https://x.com/OIC_IPHRC/status/2070551984499835344,"#IPHRC, represented by H.E. Ambassador Dr. Mahy Hassan Abdul Latif, Vice-Chairperson of the OIC-IPHRC, participated in the 62nd Session of the UN Human Rights Council in Geneva.

On this occasion, the Commission addressed key human rights issues and co-organized a side event on",0,0,0,0,,
2070432570764874193,Digital Restrictions for Minors,2026-06-26 16:54,🇷🇺 + 🇩🇪 + 🇺🇦,@ruplusgerplusua,https://x.com/ruplusgerplusua/status/2070432570764874193,"A reminder: Trump's National Policy Framework for AI wants to protect children online by establishing commercially reasonable, privacy protective AGE-ASSURANCE.

AGE-ASSURANCE means 🆔 verification for internet content. FOR EVERYONE!

Also the funny part here is wording ""privacy",4,2,0,1,2,
2070384310738120772,Digital Restrictions for Minors,2026-06-26 13:51,Inspirepreneur,@Inspirepreneur_,https://x.com/Inspirepreneur_/status/2070384310738120772,"PM @AlboMP says #Australia's world-first #socialmedia laws will be strengthened following concerns raised by the online safety regulator, signalling tougher measures to protect children online.

Read: https://t.co/bA4CFeiL6J 

#Inspirepreneur",0,0,0,1,1,
